Input Size,Run Time (ns)
0,2900
1,89766
2,116866
3,146100
4,175233
5,205166
6,189700
7,182766
8,155833
9,137333
10,123066
11,97366
12,99933
13,104800
14,118066
15,119800
16,123900
17,149633
18,151466
19,147266
20,163633
21,156833
22,161533
23,180266
24,232000
Input Size,Run Time (ns)
0,3100
1,62700
2,80333
3,112966
4,141200
5,204133
6,126300
7,151766
8,195066
9,220266
10,152833
11,99366
12,117500
13,116733
14,99833
15,118133
16,122433
17,119100
18,121466
19,180300
20,153466
21,151333
22,148233
23,179666
24,179733
