Input Size,Run Time (ns)
0,3066
1,4833
2,5166
3,4433
4,4733
5,5333
6,5900
7,6533
8,5700
9,6666
10,8166
11,13000
12,7300
13,9200
14,9600
15,10866
16,12966
17,20333
18,29033
19,39633
20,61300
21,96233
22,165833
23,296000
24,385033
Input Size,Run Time (ns)
0,2466
1,4433
2,4366
3,4200
4,5333
5,6233
6,6233
7,7066
8,7100
9,7666
10,9033
11,11200
12,9966
13,10233
14,13166
15,10833
16,14000
17,18966
18,26800
19,39933
20,60366
21,94233
22,147900
23,235500
24,376066
